,,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,0:00
12/26/2009,12,11,11,12,11,11,11,11,12,12,11,11,11,11,11,12,11,8,8,14,20,21,21,21,21,22,22,22,22,21,21,20,20,24,24,25,25,23,22,22,23,22,22,23,22,21,20,12,
12/27/2009,12,11,11,11,12,11,12,12,11,11,12,11,12,11,11,12,12,8,8,8,8,8,9,11,14,18,20,23,23,24,24,24,23,27,27,16,13,12,11,11,11,11,11,12,11,11,11,11,
12/28/2009,11,12,11,11,12,11,11,11,11,11,11,11,11,11,12,14,17,16,20,20,20,21,20,20,20,21,20,21,21,21,21,21,21,24,25,25,24,23,24,23,23,24,20,11,12,11,11,11,
12/29/2009,11,11,11,11,11,11,11,12,11,11,11,11,11,11,12,15,18,18,18,19,19,20,20,20,20,19,19,19,20,20,22,22,23,24,24,24,24,24,24,25,25,24,21,11,11,11,11,11,
12/30/2009,11,11,11,11,12,11,11,12,12,12,12,11,11,12,11,15,16,13,13,13,13,13,14,13,13,14,21,22,22,21,22,22,22,24,25,25,25,26,26,26,26,26,22,11,11,11,11,11,
12/31/2009,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,22,23,20,19,19,20,20,20,20,20,21,21,21,22,21,21,21,21,22,23,23,17,15,12,11,11,11,11,11,11,11,11,11,
1/1/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
1/2/2010,11,11,11,11,12,11,11,11,11,11,11,11,11,11,12,12,11,8,9,17,20,20,21,21,22,22,23,22,22,21,20,20,20,23,24,24,25,24,23,23,23,22,23,22,21,21,17,11,
1/3/2010,12,11,12,11,12,11,12,12,11,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,15,20,20,20,21,20,20,22,19,12,11,11,11,11,11,11,11,11,11,11,12,11,
1/4/2010,12,12,11,11,12,11,12,12,11,11,11,11,11,11,18,24,26,25,24,24,24,24,23,22,23,23,21,20,20,21,22,22,25,28,29,28,28,28,27,28,29,28,23,12,12,12,12,12,
1/5/2010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,21,25,24,25,25,25,26,25,26,26,24,24,24,25,27,27,27,30,29,29,28,29,29,29,28,27,24,11,12,11,12,12,
1/6/2010,12,11,12,11,12,11,11,12,11,12,11,12,12,12,12,23,24,22,22,23,24,23,23,22,23,23,21,21,22,23,25,25,25,28,28,28,28,30,28,28,29,29,24,11,11,11,12,11,
1/7/2010,12,12,11,11,11,11,11,11,11,11,12,11,12,11,12,15,28,25,25,25,26,27,27,26,26,25,24,22,24,24,27,25,25,29,29,30,30,31,29,28,27,27,21,12,12,11,12,11,
1/8/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,23,23,23,24,24,25,25,25,25,25,23,23,23,25,25,25,26,27,26,28,27,26,26,25,25,22,22,22,22,19,11,
1/9/2010,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,8,8,20,23,24,24,24,26,25,26,25,24,25,23,22,21,24,25,25,25,22,22,21,22,22,22,22,22,21,15,13,
1/10/2010,11,12,12,12,12,11,11,12,11,11,11,12,12,12,12,11,12,8,8,8,8,8,8,8,8,8,12,17,20,21,21,21,21,24,24,13,11,12,12,12,11,12,11,12,12,12,12,12,
1/11/2010,11,12,12,12,12,12,12,12,12,11,12,12,12,12,12,17,27,27,25,25,25,25,25,25,27,27,26,24,25,25,26,25,26,29,30,30,31,30,31,30,28,29,26,12,12,12,12,12,
1/12/2010,11,12,12,11,12,12,11,12,11,11,11,12,11,12,12,17,24,25,24,25,25,25,26,26,26,25,24,24,24,25,27,27,26,30,31,29,29,29,29,29,28,28,23,12,12,11,12,12,
1/13/2010,11,12,12,12,12,12,11,12,11,12,11,12,11,12,19,24,26,24,24,24,24,25,24,25,27,25,25,24,25,26,26,26,26,28,29,29,28,32,31,29,29,29,23,11,12,12,11,11,
1/14/2010,11,11,11,11,11,11,11,11,12,11,11,11,11,11,12,25,27,24,23,24,24,24,25,27,28,27,26,25,26,26,29,28,27,30,29,31,31,30,30,29,28,28,25,12,12,12,12,12,
1/15/2010,12,11,12,11,11,11,11,11,12,11,11,11,11,11,11,13,27,25,25,26,26,25,25,26,28,28,26,24,25,25,28,27,27,28,29,28,27,29,30,29,28,27,26,24,24,23,16,13,
1/16/2010,12,12,12,12,12,12,12,12,12,11,12,12,11,12,12,11,11,8,8,19,23,23,25,24,24,24,25,25,24,24,24,24,25,26,25,25,26,24,24,23,23,23,23,23,23,23,20,12,
1/17/2010,13,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,8,8,8,8,8,8,8,8,9,20,21,22,22,23,23,24,22,13,12,12,12,12,12,12,12,11,12,12,11,12,
1/18/2010,12,11,12,12,12,12,12,12,12,11,11,12,12,11,11,11,11,8,9,21,21,21,21,21,22,22,23,22,23,23,23,23,23,28,28,27,26,13,13,13,12,13,12,12,12,12,12,12,
1/19/2010,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,14,28,26,26,25,26,27,27,27,27,27,26,27,27,26,29,28,29,34,31,29,29,27,29,31,31,30,29,14,13,14,13,13,
1/20/2010,12,12,13,12,12,12,13,12,12,12,12,12,12,12,12,20,28,26,27,27,27,27,26,26,26,25,23,25,24,25,27,28,28,31,30,30,30,31,32,31,32,29,23,13,13,13,13,12,
1/21/2010,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,16,26,26,26,26,26,26,26,24,27,26,25,25,25,26,27,25,25,27,28,27,28,28,27,26,26,26,23,13,13,13,12,12,
1/22/2010,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,19,29,26,26,25,26,26,27,26,27,27,25,25,26,26,28,27,26,29,30,29,29,30,29,29,28,28,26,23,23,23,23,13,
1/23/2010,13,12,12,12,12,12,12,12,12,12,12,11,12,11,12,11,12,13,20,21,24,25,26,25,25,27,27,27,27,27,26,24,26,29,29,28,28,26,26,26,26,26,26,26,26,25,25,14,
1/24/2010,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,8,8,8,8,8,9,9,9,14,21,22,22,22,20,20,23,22,11,11,11,11,11,11,11,11,11,11,11,11,11,
1/25/2010,11,11,11,11,12,11,11,11,11,11,11,11,11,11,14,24,26,24,23,23,24,24,23,23,25,25,23,21,22,23,25,23,24,29,30,30,31,29,28,26,28,25,22,12,11,12,12,11,
1/26/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,27,25,25,25,27,26,26,26,26,25,24,24,24,24,27,25,26,30,30,30,30,28,29,29,29,29,25,13,13,12,12,12,
1/27/2010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,24,24,23,23,23,23,23,23,25,23,23,21,21,21,22,25,24,25,27,27,28,28,28,30,30,28,28,23,12,12,11,11,11,
1/28/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,26,24,25,26,27,27,26,25,25,25,23,23,23,24,26,24,24,27,28,28,28,25,26,25,25,25,22,12,12,12,12,12,
1/29/2010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,27,26,25,26,27,26,29,28,28,26,25,22,23,24,26,23,24,28,31,30,29,29,29,29,28,26,25,22,22,22,22,11,
1/30/2010,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,21,22,22,23,23,23,23,24,23,22,22,22,22,21,20,20,23,24,22,18,11,11,11,11,11,11,11,11,11,11,11,
1/31/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,7,7,7,8,8,8,8,12,19,20,20,20,20,20,23,22,13,13,12,12,12,12,12,12,12,12,12,12,12,
2/1/2010,12,12,12,12,13,12,12,12,12,12,12,13,13,13,15,25,27,24,24,25,26,26,27,26,26,26,25,24,24,25,26,25,25,28,28,29,29,29,29,27,27,27,23,12,11,11,11,11,
2/2/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,24,24,24,26,25,24,24,25,24,23,22,22,23,24,25,25,29,30,30,29,29,30,28,26,26,22,11,11,11,11,11,
2/3/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,20,21,23,24,24,24,24,24,24,24,23,23,23,24,24,24,27,26,28,29,30,30,29,29,29,21,12,11,11,11,11,
2/4/2010,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,14,28,24,24,25,26,25,27,28,28,28,27,26,24,24,28,26,25,29,30,30,29,29,28,26,26,25,22,12,11,12,12,11,
2/5/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,17,22,23,23,22,23,23,22,22,16,12,8,9,7,7,7,7,10,11,11,11,11,11,11,11,11,11,10,11,11,11,11,
2/6/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2/7/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2/8/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,9,7,7,7,8,9,9,8,7,7,7,7,7,7,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2/9/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2/10/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,8,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,
2/11/2010,11,11,11,11,10,11,10,11,11,11,10,11,11,11,11,11,11,8,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2/12/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,9,7,7,7,9,9,9,8,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2/13/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,7,7,7,7,7,7,7,7,8,7,7,7,8,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
2/14/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,7,7,7,7,7,7,8,8,8,8,7,7,7,7,7,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,
2/15/2010,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,20,20,21,20,21,20,20,20,20,19,19,19,19,20,23,23,23,21,18,17,17,17,17,17,17,17,17,17,17,
2/16/2010,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,23,24,26,26,26,26,26,25,24,24,23,23,24,24,24,24,28,28,25,25,25,26,26,26,25,19,11,11,11,11,11,
2/17/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,24,26,23,23,24,24,24,24,24,24,24,23,22,22,21,25,24,23,26,27,26,27,28,32,29,29,27,24,11,11,11,11,11,
2/18/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,27,25,25,28,26,26,29,27,27,26,24,24,24,25,27,26,24,28,29,29,28,29,28,28,27,26,24,12,11,11,10,10,
2/19/2010,11,11,10,11,11,11,11,11,10,11,10,11,11,11,11,11,22,24,25,28,29,29,28,25,27,27,25,23,24,23,25,25,25,28,29,29,28,27,26,27,27,25,24,24,23,23,16,11,
2/20/2010,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,23,25,25,26,27,26,27,27,26,27,26,25,25,25,26,29,28,28,27,26,24,23,22,22,22,22,22,22,18,12,
2/21/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,7,7,7,7,8,7,7,7,7,19,22,22,22,22,22,24,23,13,12,12,12,11,11,12,11,11,11,11,11,11,
2/22/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,25,24,24,26,26,26,25,24,25,25,23,22,22,22,25,26,25,27,27,28,28,28,26,26,26,27,24,12,11,12,11,11,
2/23/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,28,25,25,27,27,27,27,26,27,25,24,24,24,25,26,26,26,29,29,30,29,29,29,29,28,27,24,13,12,12,12,12,
2/24/2010,12,11,11,12,11,11,11,11,11,11,11,11,11,11,11,23,25,25,23,25,27,27,27,26,26,25,24,24,24,24,27,26,26,31,31,31,29,31,31,30,30,29,24,13,13,13,12,12,
2/25/2010,12,12,12,12,12,12,11,12,12,11,11,12,11,11,11,18,27,25,24,25,26,26,27,26,27,27,24,23,22,22,25,25,26,31,31,31,30,30,30,30,29,28,23,12,12,12,11,11,
2/26/2010,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,28,24,24,24,24,24,25,25,25,26,27,27,27,26,27,25,24,28,28,27,28,29,28,28,29,27,25,23,23,23,20,12,
2/27/2010,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,13,20,21,22,22,23,23,23,23,23,23,21,21,22,23,23,26,25,24,24,24,24,25,23,22,22,22,22,23,20,13,
2/28/2010,13,13,12,13,13,12,12,13,12,12,13,12,12,12,12,12,12,9,8,8,8,8,8,8,9,9,12,21,21,22,22,22,22,25,21,13,13,13,13,12,13,12,12,13,12,12,12,12,
3/1/2010,12,12,12,12,12,12,12,12,12,12,12,11,12,12,15,24,25,24,23,26,27,24,24,22,24,24,24,23,23,23,24,24,25,28,29,28,28,29,29,29,29,28,20,13,12,12,12,12,
3/2/2010,12,12,12,12,12,12,12,11,12,12,11,12,11,11,12,20,28,25,24,25,25,26,26,25,26,26,24,24,23,23,25,25,25,28,29,29,27,27,27,28,28,28,25,13,13,12,12,12,
3/3/2010,12,12,12,11,12,11,11,11,12,11,11,11,11,11,13,25,26,24,24,24,24,24,26,25,26,25,25,25,25,25,28,26,26,30,30,29,29,30,30,29,28,28,23,13,13,12,12,12,
3/4/2010,12,12,11,12,11,11,11,11,11,11,11,11,11,11,11,14,28,28,26,26,26,28,28,27,27,27,26,25,23,24,26,25,25,29,29,29,29,30,29,29,29,29,24,12,12,12,12,11,
3/5/2010,11,12,12,11,12,11,12,11,11,11,11,11,11,11,11,21,28,25,24,27,28,27,27,26,27,27,25,24,24,25,27,28,27,30,29,28,27,27,26,28,28,28,26,25,24,23,19,12,
3/6/2010,12,12,12,12,11,12,12,11,11,11,11,11,11,11,11,11,11,9,20,23,27,24,24,26,26,25,24,23,24,25,25,25,24,28,29,28,26,24,25,25,25,25,23,23,23,23,20,11,
3/7/2010,11,11,11,11,11,11,12,12,12,12,11,11,11,11,11,11,11,8,7,8,8,7,7,7,7,7,11,18,20,20,20,20,20,23,14,11,11,11,11,11,11,11,11,11,11,11,11,12,
3/8/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,24,27,26,27,26,28,29,29,28,25,27,27,26,23,23,25,26,26,28,30,29,27,27,28,28,28,27,24,11,11,11,11,11,
3/9/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,28,28,28,28,28,26,26,25,27,27,25,25,25,24,26,28,26,31,31,31,32,28,28,28,28,28,23,12,12,11,10,10,
3/10/2010,11,10,11,11,11,11,11,11,10,11,11,11,11,10,12,23,24,21,21,22,23,22,24,23,24,24,22,21,21,20,21,22,24,28,28,29,30,30,30,28,25,25,20,11,11,11,11,11,
3/11/2010,11,11,11,11,11,10,11,11,11,11,11,10,10,10,11,15,28,24,24,24,24,24,24,23,23,23,21,21,21,22,25,25,25,28,28,28,28,27,25,25,26,26,24,17,17,13,11,11,
3/12/2010,11,11,11,10,11,11,11,11,10,11,11,11,10,10,10,14,27,24,23,24,24,24,24,24,26,26,22,22,22,21,23,24,24,29,28,28,28,28,26,25,25,24,23,22,21,20,18,11,
3/13/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,13,17,21,21,20,21,21,21,21,22,21,21,21,22,22,25,26,23,23,22,22,24,25,24,23,23,22,22,23,19,
3/14/2010,19,19,19,19,19,NA,NA,19,19,19,19,20,19,19,19,19,19,19,19,16,15,15,15,15,15,15,18,20,20,21,21,20,21,20,19,14,11,11,11,11,11,11,11,11,12,11,11,11,
3/15/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,25,28,31,28,28,28,29,28,29,28,28,27,27,28,28,29,27,32,33,32,32,32,32,32,31,30,28,15,15,14,14,14,
3/16/2010,14,13,14,14,13,14,13,13,13,13,13,13,13,13,13,15,29,27,26,27,27,29,29,28,29,30,27,26,26,26,28,31,31,33,32,31,30,30,30,31,32,32,30,17,17,15,15,14,
3/17/2010,15,14,15,14,14,14,14,14,14,14,14,14,14,14,19,27,28,25,26,27,28,27,31,27,28,29,27,28,28,28,30,33,33,36,37,36,36,34,33,33,33,33,27,14,14,14,14,14,
3/18/2010,14,14,14,14,13,14,14,13,13,13,13,13,13,13,13,14,28,26,27,29,29,28,33,30,29,29,28,30,30,29,30,33,35,36,38,38,36,34,35,35,35,33,31,16,15,15,15,16,
3/19/2010,15,15,15,15,14,14,15,14,14,14,14,14,14,14,13,21,30,27,27,27,28,27,32,29,29,29,27,28,28,30,33,32,33,37,35,34,32,34,33,33,33,30,27,25,26,26,22,14,
3/20/2010,14,14,14,14,14,14,14,14,14,14,13,14,13,13,13,13,13,10,14,22,24,26,30,27,28,28,29,29,29,29,29,29,29,33,34,34,33,30,30,30,30,31,30,30,29,27,22,14,
3/21/2010,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,13,11,11,11,11,11,12,11,11,11,18,26,27,26,27,28,28,33,33,19,15,15,15,15,15,15,14,15,15,15,15,14,
3/22/2010,14,14,15,15,14,14,14,14,14,14,14,14,14,14,19,27,27,25,27,29,27,28,28,28,29,30,28,27,26,26,28,29,28,34,33,32,32,31,30,30,33,31,29,17,17,15,14,14,
3/23/2010,15,15,15,15,15,15,15,15,15,14,15,14,14,14,14,16,29,28,27,28,27,27,27,27,29,28,27,27,27,26,28,30,28,32,32,31,31,30,29,31,31,30,27,14,14,14,14,14,
3/24/2010,14,14,14,14,13,14,13,13,13,13,13,13,13,13,13,18,29,27,26,27,29,29,29,29,31,31,29,27,25,27,29,31,31,34,36,35,36,36,35,35,35,36,29,16,14,14,14,14,
3/25/2010,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,14,29,26,26,27,27,26,27,27,27,26,24,23,23,23,25,26,26,32,31,33,33,32,33,33,33,33,27,17,16,14,14,14,
3/26/2010,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,19,25,25,26,26,25,26,24,23,24,23,24,26,24,24,27,28,28,26,27,29,28,27,26,25,24,23,23,22,19,
3/27/2010,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,23,24,26,26,26,26,26,26,26,26,25,25,25,25,25,28,27,28,28,26,24,24,24,24,24,24,23,24,21,15,
3/28/2010,14,13,13,13,13,13,13,13,13,12,13,12,13,13,13,13,13,9,9,9,9,9,9,9,9,9,16,23,23,23,23,24,24,27,23,14,14,14,14,13,13,13,13,13,13,13,13,13,
3/29/2010,13,13,13,13,13,13,14,13,13,13,13,13,13,13,13,17,20,23,23,23,22,23,23,24,23,24,25,22,21,21,21,20,20,23,24,24,24,24,25,24,23,22,19,10,10,10,10,10,
3/30/2010,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,23,20,19,20,19,19,19,20,20,19,19,20,20,20,20,21,21,25,25,25,26,27,26,26,26,25,20,10,10,10,10,10,
3/31/2010,11,11,11,10,10,10,10,10,11,10,10,10,10,10,10,14,21,18,18,19,19,19,19,19,18,20,21,21,21,23,23,21,25,26,26,27,29,29,31,29,28,27,23,12,11,11,11,11,
4/1/2010,11,11,11,11,11,10,10,11,11,11,11,11,11,11,11,16,23,20,22,23,25,22,21,22,24,24,23,25,28,27,26,28,30,32,32,27,28,29,29,30,31,31,27,15,11,11,10,11,
4/2/2010,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,22,19,19,22,24,25,20,22,23,23,24,25,23,27,28,29,26,29,30,30,30,31,28,28,29,30,28,25,25,24,17,12,
4/3/2010,11,11,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,7,11,19,19,20,20,21,22,25,26,27,27,26,27,28,27,30,32,30,30,31,29,29,29,26,26,25,25,24,18,11,
4/4/2010,12,11,11,11,11,11,11,11,11,11,11,11,10,11,10,10,11,8,7,7,7,9,9,10,10,10,10,14,13,11,11,11,12,15,18,15,14,11,17,16,14,14,12,11,11,10,10,11,
4/5/2010,11,10,11,11,10,11,11,11,11,10,11,10,10,11,11,23,25,22,22,23,27,28,29,28,31,33,32,28,30,29,32,33,31,38,37,37,37,37,38,39,35,35,34,19,15,14,11,12,
4/6/2010,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,23,26,28,32,33,32,32,37,37,40,40,38,39,40,42,45,41,47,48,46,48,45,42,44,42,43,38,28,25,24,19,15,
4/7/2010,14,15,14,13,14,13,13,14,13,13,13,14,13,13,17,28,31,33,37,38,36,39,40,39,35,43,39,39,40,40,42,42,42,49,48,49,49,45,47,46,44,39,38,28,22,18,13,14,
4/8/2010,13,12,13,12,13,12,13,12,12,12,12,12,12,11,12,16,36,32,36,38,42,44,43,45,43,47,44,45,46,48,46,48,47,52,52,51,50,44,48,47,41,36,29,19,18,15,15,15,
4/9/2010,15,15,15,14,15,15,15,15,15,15,14,14,15,14,15,16,22,25,26,27,27,28,28,27,29,30,26,26,27,26,29,28,27,30,30,31,30,31,31,30,29,28,26,24,24,24,24,14,
4/10/2010,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,16,26,27,28,26,27,28,28,29,31,30,28,29,27,28,29,31,31,30,27,26,27,27,28,28,28,27,26,24,15,
4/11/2010,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,11,11,14,15,17,13,15,15,15,17,28,27,29,30,32,31,34,29,22,23,19,16,16,16,16,16,16,16,16,16,16,
4/12/2010,15,15,15,15,16,15,15,15,15,15,15,15,15,15,22,29,31,28,27,34,36,35,36,35,33,34,36,34,31,31,31,33,30,36,39,38,38,37,32,33,34,32,30,19,15,15,15,15,
4/13/2010,15,15,14,14,14,14,14,15,15,15,15,15,15,15,15,18,30,27,27,27,28,28,27,26,27,27,25,25,25,25,27,27,26,30,30,32,33,32,33,32,32,32,28,15,15,15,15,15,
4/14/2010,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,27,30,27,28,28,29,28,28,27,28,30,29,28,29,31,32,35,33,33,32,33,34,34,34,33,34,34,31,18,15,15,15,15,
4/15/2010,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,22,33,30,29,30,31,32,32,32,30,31,30,30,32,32,33,35,34,39,38,38,37,39,38,38,38,36,29,20,20,19,16,16,
4/16/2010,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,24,33,30,30,35,36,38,38,42,40,41,36,39,39,41,38,40,31,39,40,39,37,37,32,33,32,33,31,30,29,28,23,16,
4/17/2010,17,16,16,16,16,16,16,16,16,16,15,15,15,15,16,15,15,12,12,24,28,28,28,30,30,31,32,29,30,33,30,30,29,33,32,32,30,30,29,28,28,27,27,25,25,25,21,15,
4/18/2010,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,12,11,11,11,11,12,11,11,12,12,15,19,24,24,24,24,27,27,17,15,15,15,15,15,15,15,15,15,15,15,15,
4/19/2010,15,15,15,15,15,15,15,15,15,15,15,14,15,14,25,27,28,27,28,30,32,31,31,30,30,32,30,31,29,28,28,31,34,37,38,37,38,35,39,38,36,34,26,16,16,15,15,15,
